N_j,U_H,U_M,U_L,,,
0,7.9525,6.32584,8.450875,,,
1,8.15725,7.43392,8.4964375,,,
2,8.341525,7.98796,8.50555,,,
3,8.5073725,8.26498,8.5073725,,,
4,8.65663525,8.40349,8.507737,,,
5,8.790971725,8.472745,8.5078099,,,
6,8.9118745525,8.5073725,8.50782448,,,
7,9.02068709725,8.52468625,8.507827396,,,
8,9.118618387525,8.533343125,8.5078279792,,,
9,9.2067565487725,8.5376715625,8.50782809584,,,
10,9.28608089389525,8.53983578125,8.507828119168,,,
11,9.35747280450573,8.540917890625,8.5078281238336,,,
12,9.42172552405515,8.5414589453125,8.50782812476672,,,
13,9.47955297164964,8.54172947265625,8.50782812495334,,,
14,9.53159767448467,8.54186473632813,8.50782812499067,,,
15,9.57843790703621,8.54193236816406,8.50782812499813,,,
16,9.62059411633258,8.54196618408203,8.50782812499963,,,
17,9.65853470469933,8.54198309204101,8.50782812499993,,,
18,9.6926812342294,8.54199154602051,8.50782812499999,,,
19,9.72341311080645,8.54199577301025,8.507828125,,,
20,9.75107179972581,8.54199788650513,8.507828125,,,
21,9.77596461975323,8.54199894325256,8.507828125,,,
22,9.7983681577779,8.54199947162628,8.507828125,,,
23,9.81853134200012,8.54199973581314,8.507828125,,,
24,9.8366782078001,8.54199986790657,8.507828125,,,
